node,cluster,type,corr_4g,corr_5g,peak_hour,industry_ratio,residential_ratio,commercial_ratio,volatility
8001,6,混合型,0.368726239439608,0.3093256105377936,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,4567.718015683434
8002,2,混合型,0.27067496303071087,0.2212195927831544,12.0,0.33327902240325863,0.33319755600814666,0.33319755600814666,3728.1023578588506
8003,2,混合型,0.33616361241084075,0.2801543750146661,12.0,0.33314346163235414,0.33314346163235414,0.3330620880462202,2605.9549764228173
8004,3,混合型,0.19603147865289505,0.15757332857918682,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,7638.851798682073
8005,2,混合型,0.3314909343878618,0.27679615366346544,12.0,0.3185460372960373,0.3185460372960373,0.3185460372960373,2084.0711841131624
8006,1,混合型,0.27298753436307954,0.22461424363015925,12.0,0.2500152783719367,0.2500152783719367,0.24995416488418995,6650.673774257971
8007,1,混合型,0.20853620558518818,0.16601617106795982,12.0,0.2500152783719367,0.2500152783719367,0.24995416488418995,8220.625924160848
8008,1,混合型,0.19673826179119397,0.15533769344585158,12.0,0.2500152783719367,0.2500152783719367,0.24995416488418995,8597.869395861706
8009,3,混合型,0.25891185392921134,0.21163668377086475,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,6001.208512250662
8010,3,混合型,0.2385926122009019,0.19305378337235618,12.0,0.33314346163235414,0.33314346163235414,0.3330620880462202,2779.50273188613
8011,2,混合型,0.3814497926392674,0.32113427780601894,12.0,0.2913233875157723,0.29124916499666,0.29124916499666,8267.518721096183
8012,0,混合型,0.4732018771773175,0.4034947248908919,12.0,0.33322480872537846,0.33322480872537846,0.33322480872537846,2416.1369120530717
8013,0,混合型,0.4060214042689763,0.34329483936744404,12.0,0.32677475208562884,0.32669604911065636,0.32669604911065636,10032.2780384138
8014,6,混合型,0.39160944884345483,0.33146234325298785,12.0,0.3331734228831854,0.33309346765811143,0.33309346765811143,3411.946835593155
8015,6,混合型,0.3691618832552668,0.3110804544818996,12.0,0.3121799153863282,0.3121799153863282,0.3121056928672159,2874.466816311157
8016,0,混合型,0.4653942041657492,0.3956631273410989,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3784.7640211437024
8017,1,混合型,0.26867744523835674,0.2210826024729549,12.0,0.2761602957681389,0.2761602957681389,0.2760942760942761,6267.039327812931
8018,1,混合型,0.17616169868754067,0.13871453169350773,12.0,0.2500152783719367,0.2500152783719367,0.24995416488418995,9686.885324307892
8019,4,混合型,0.3362915656809792,0.28094949989966345,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,4953.617850424901
8020,2,混合型,0.45373527221300614,0.3852297624533313,12.0,0.32685043799726754,0.3267700715261593,0.3267700715261593,2988.7928995027382
8021,1,混合型,0.2512265147093529,0.2045756502449017,12.0,0.2500152783719367,0.2500152783719367,0.24995416488418995,7085.7106387160675
8022,4,混合型,0.34175202247499603,0.28615656525682354,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,4917.681864198558
8023,6,混合型,0.44214170819904663,0.37712457663205007,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,4065.031050594252
8024,5,混合型,0.5135196581685793,0.4402741470080907,18.0,0.3333604821632188,0.3333604821632188,0.3332790356735625,3865.6319827361913
8025,6,混合型,0.37186742635207787,0.3125730911799276,12.0,0.33302975106253796,0.33302975106253796,0.33302975106253796,23643122.31856926
8026,5,混合型,0.5433330226328704,0.4666664188638133,18.0,0.33327902240325863,0.33319755600814666,0.33319755600814666,2744.8607845514557
8027,0,混合型,0.4750241842875693,0.4058482069088557,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3795.032991298979
8028,6,混合型,0.30264813639173044,0.25047589346008703,12.0,0.3294979079497908,0.3294979079497908,0.3294979079497908,2253.329792467841
8029,1,混合型,0.30455756857007077,0.25225174500629344,12.0,0.2500152783719367,0.2500152783719367,0.24995416488418995,6006.247246355807
8030,4,混合型,0.3405298060029255,0.2861791275414707,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,5019.784669504264
8031,5,混合型,0.5449975451239636,0.4682085592396494,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3366.9580602760734
8032,5,混合型,0.5759057551808261,0.4963782967327951,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3227.5817636183506
8033,5,混合型,0.5612957782899339,0.48262568479589063,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3276.1339504170232
8034,2,混合型,0.2264092006723502,0.18308428646294977,12.0,0.33271676300578035,0.33271676300578035,0.33271676300578035,2643.8254221402735
8035,2,混合型,0.33886999081434643,0.28430319080685906,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,5007.043683668556
8036,1,混合型,0.196034197624769,0.15482529455833005,12.0,0.2858399296394019,0.2858399296394019,0.2858399296394019,19070323.11131198
8037,3,混合型,0.2336643621428296,0.18961944015077503,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,6525.485784370718
8038,3,混合型,0.16123079188062586,0.12449301484863257,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,8248.73212990978
8039,7,混合型,-0.03933110785944299,-0.05352608501538958,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,38628.27896658368
8040,7,混合型,-0.12863825382217914,-0.12833386839893213,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,-33035.98270132605
8041,5,混合型,0.5256941743836573,0.4511561526016556,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3481.5462453612777
8042,0,混合型,0.4896354898180885,0.4192226868454403,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3713.060987862197
